phi,M(kNm)
0,0
1.00E-13,4.17E+07
2.00E-13,2.64E+07
3.00E-13,2.25E+07
4.00E-13,2.08E+07
5.00E-13,2.01E+07
6.00E-13,1.99E+07
7.00E-13,2.01E+07
8.00E-13,2.05E+07
9.00E-13,2.11E+07
1.00E-12,2.19E+07
1.10E-12,2.27E+07
1.20E-12,2.36E+07
1.30E-12,2.45E+07
1.40E-12,2.55E+07
1.50E-12,2.66E+07
1.60E-12,2.76E+07
1.70E-12,2.87E+07
1.80E-12,2.98E+07
1.90E-12,3.10E+07
2.00E-12,3.21E+07
2.10E-12,3.32E+07
2.20E-12,3.44E+07
2.30E-12,3.55E+07
2.40E-12,3.67E+07
2.50E-12,3.79E+07
2.60E-12,3.90E+07
2.70E-12,4.02E+07
2.80E-12,4.14E+07
2.90E-12,4.25E+07
3.00E-12,4.37E+07
3.10E-12,4.49E+07
3.20E-12,4.60E+07
3.30E-12,4.72E+07
3.40E-12,4.83E+07
3.50E-12,4.95E+07
3.60E-12,5.06E+07
3.70E-12,5.18E+07
3.80E-12,5.29E+07
3.90E-12,5.40E+07
4.00E-12,5.52E+07
4.10E-12,5.63E+07
4.20E-12,5.74E+07
4.30E-12,5.85E+07
4.40E-12,5.96E+07
4.50E-12,6.07E+07
4.60E-12,6.18E+07
4.70E-12,6.29E+07
4.80E-12,6.40E+07
4.90E-12,6.51E+07
5.00E-12,6.61E+07
5.10E-12,6.72E+07
5.20E-12,6.82E+07
5.30E-12,6.93E+07
5.40E-12,7.03E+07
5.50E-12,7.13E+07
5.60E-12,7.24E+07
5.70E-12,7.34E+07
5.80E-12,7.44E+07
5.90E-12,7.54E+07
6.00E-12,7.64E+07
6.10E-12,7.74E+07
6.20E-12,7.84E+07
6.30E-12,7.93E+07
6.40E-12,8.03E+07
6.50E-12,8.12E+07
6.60E-12,8.22E+07
6.70E-12,8.31E+07
6.80E-12,8.41E+07
6.90E-12,8.50E+07
7.00E-12,8.59E+07
7.10E-12,8.68E+07
7.20E-12,8.77E+07
7.30E-12,8.86E+07
7.40E-12,8.95E+07
7.50E-12,9.04E+07
7.60E-12,9.13E+07
7.70E-12,9.21E+07
7.80E-12,9.30E+07
7.90E-12,9.38E+07
8.00E-12,9.47E+07
8.10E-12,9.55E+07
8.20E-12,9.63E+07
8.30E-12,9.72E+07
8.40E-12,9.80E+07
8.50E-12,9.88E+07
8.60E-12,9.96E+07
8.70E-12,1.00E+08
8.80E-12,1.01E+08
8.90E-12,1.02E+08
9.00E-12,1.03E+08
9.10E-12,1.03E+08
9.20E-12,1.04E+08
9.30E-12,1.05E+08
9.40E-12,1.06E+08
9.50E-12,1.06E+08
9.60E-12,1.07E+08
9.70E-12,1.08E+08
9.80E-12,1.09E+08
9.90E-12,1.09E+08
1.00E-11,1.10E+08
